household_size,children_in_household,household_type,district,quarter,value
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2013Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2013Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2014Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2014Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2014Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2014Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2015Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2015Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2015Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2015Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2016Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2016Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2016Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2016Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2017Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2017Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2017Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2017Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2018Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2018Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2018Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2018Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2019Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2019Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2019Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2019Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2020Q1,0.0
