income_type,sex,unit,district,year,value
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2022,7350550.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2023,7981513.0
Disposable income,Men,"Amount of income (DKK 1,000)",Nørrebro,2024,8445049.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1987,1462408.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1988,1522171.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1989,1573924.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1990,1605467.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1991,1638948.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1992,1683815.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1993,1717523.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1994,1837288.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1995,1960778.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1996,2032231.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1997,2122855.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1998,2272197.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,1999,2355838.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2000,2456925.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2001,2559529.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2002,2670978.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2003,2742133.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2004,2897185.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2005,3000626.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2006,3072301.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2007,3225234.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2008,3272820.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2009,3426943.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2010,3725294.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2011,3830990.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2012,3994546.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2013,4179450.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2014,4336899.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2015,4533744.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2016,4773573.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2017,5052543.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2018,5468155.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2019,5880221.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2020,6297696.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2021,6883552.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2022,7129784.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2023,7636166.0
Disposable income,Men,"Amount of income (DKK 1,000)",Valby,2024,8212377.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1987,1204507.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1988,1263669.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1989,1310652.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1990,1348407.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1991,1378787.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1992,1418094.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1993,1479277.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1994,1567380.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1995,1640218.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1996,1723450.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1997,1778071.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1998,1911006.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,1999,1982960.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2000,2087648.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2001,2177099.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2002,2274264.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2003,2353014.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2004,2483771.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2005,2596775.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2006,2663292.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2007,2695079.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2008,2772406.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2009,2818178.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2010,3082242.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2011,3239176.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2012,3347108.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2013,3493345.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2014,3623265.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2015,3747362.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2016,3869196.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2017,4006575.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2018,4134585.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2019,4293702.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2020,4430695.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2021,4711390.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2022,4689203.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2023,5098560.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vanløse,2024,5394027.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1987,1611582.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1988,1687554.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1989,1737608.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1990,1745188.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1991,1770089.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1992,1806463.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1993,1848157.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1994,1960422.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1995,2045981.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1996,2146374.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1997,2242249.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1998,2400339.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,1999,2553849.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2000,2717981.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2001,2804171.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2002,2881348.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2003,2976628.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2004,3106655.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2005,3211777.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2006,3404512.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2007,3555440.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2008,3750234.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2009,4022021.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2010,4485436.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2011,4678537.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2012,4824288.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2013,5016370.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2014,5291117.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2015,5612416.0
Disposable income,Men,"Amount of income (DKK 1,000)",Vesterbro/Kongens Enghave,2016,6001075.0
